case_id,submitted_at,department,jurisdiction,case_type,description,risk_level
CASE000291,2025-08-26T06:00:00,HR,EG,ingredient_change,Ingredient substitution due to supplier shortage.,high
CASE000292,2025-02-03T18:00:00,Marketing,UAE,data_request,Need response template for complaint.,low
CASE000293,2025-03-10T07:00:00,IT,EU,ingredient_change,Need approval for a new claim on packaging.,high
CASE000294,2025-03-24T00:00:00,IT,EU,ad_copy,Need response template for complaint.,high
CASE000295,2025-09-09T05:00:00,HR,UAE,data_request,Ingredient substitution due to supplier shortage.,low
CASE000296,2025-10-07T19:00:00,Marketing,UAE,complaint_response,Ad copy includes before/after images.,medium
CASE000297,2025-09-14T21:00:00,Marketing,UAE,ad_copy,Customer data request processing guidance.,high
CASE000298,2025-09-02T23:00:00,SupplyChain,UAE,data_request,Need response template for complaint.,high
CASE000299,2025-02-26T04:00:00,Sales,EU,data_request,Ad copy includes before/after images.,low
CASE000300,2025-10-25T11:00:00,HR,UAE,ad_copy,Ingredient substitution due to supplier shortage.,high
CASE000301,2025-04-08T19:00:00,SupplyChain,EU,ingredient_change,Ingredient substitution due to supplier shortage.,high
CASE000302,2025-02-21T13:00:00,Marketing,UAE,ingredient_change,Ad copy includes before/after images.,high
CASE000303,2025-02-08T00:00:00,Marketing,EU,ad_copy,Ad copy includes before/after images.,medium
CASE000304,2025-12-05T07:00:00,Marketing,UAE,data_request,Need response template for complaint.,high
CASE000305,2025-05-23T00:00:00,Marketing,KSA,complaint_response,Need approval for a new claim on packaging.,low
CASE000306,2025-07-14T10:00:00,HR,UAE,complaint_response,Need response template for complaint.,low
CASE000307,2025-09-06T20:00:00,SupplyChain,UAE,ad_copy,Customer data request processing guidance.,medium
CASE000308,2025-03-28T02:00:00,IT,EG,label_change,Ad copy includes before/after images.,low
CASE000309,2025-07-01T01:00:00,SupplyChain,KSA,ad_copy,Customer data request processing guidance.,high
CASE000310,2025-06-02T00:00:00,SupplyChain,EG,ingredient_change,Customer data request processing guidance.,medium
CASE000311,2025-10-11T10:00:00,HR,UAE,ad_copy,Need approval for a new claim on packaging.,medium
CASE000312,2025-11-14T03:00:00,SupplyChain,EU,data_request,Need response template for complaint.,medium
CASE000313,2025-12-28T06:00:00,SupplyChain,EG,label_change,Ingredient substitution due to supplier shortage.,high
CASE000314,2025-08-30T02:00:00,SupplyChain,UAE,complaint_response,Customer data request processing guidance.,high
CASE000315,2025-01-12T12:00:00,Sales,KSA,label_change,Customer data request processing guidance.,low
CASE000316,2025-05-28T07:00:00,HR,EG,label_change,Customer data request processing guidance.,medium
CASE000317,2025-05-07T02:00:00,Marketing,EG,ad_copy,Customer data request processing guidance.,high
CASE000318,2025-08-31T09:00:00,SupplyChain,UAE,data_request,Ingredient substitution due to supplier shortage.,high
CASE000319,2025-09-07T22:00:00,IT,KSA,label_change,Need response template for complaint.,medium
CASE000320,2025-02-27T08:00:00,HR,UAE,label_change,Need approval for a new claim on packaging.,medium
CASE000321,2025-07-08T16:00:00,IT,EG,ad_copy,Customer data request processing guidance.,high
CASE000322,2025-08-22T09:00:00,IT,KSA,complaint_response,Ad copy includes before/after images.,medium
CASE000323,2025-05-09T17:00:00,Sales,KSA,ingredient_change,Ingredient substitution due to supplier shortage.,low
CASE000324,2025-04-25T16:00:00,Marketing,KSA,complaint_response,Need approval for a new claim on packaging.,high
CASE000325,2025-10-25T04:00:00,IT,KSA,ingredient_change,Ad copy includes before/after images.,medium
CASE000326,2025-06-27T10:00:00,SupplyChain,UAE,label_change,Ad copy includes before/after images.,low
CASE000327,2025-05-02T01:00:00,SupplyChain,KSA,data_request,Ad copy includes before/after images.,medium
CASE000328,2025-08-21T22:00:00,HR,UAE,ingredient_change,Customer data request processing guidance.,low
CASE000329,2025-05-10T22:00:00,Marketing,UAE,complaint_response,Need response template for complaint.,high
CASE000330,2025-07-17T20:00:00,IT,KSA,ad_copy,Customer data request processing guidance.,medium
CASE000331,2025-05-26T04:00:00,IT,KSA,ad_copy,Ad copy includes before/after images.,high
CASE000332,2025-09-14T15:00:00,Marketing,EG,complaint_response,Need approval for a new claim on packaging.,high
CASE000333,2025-12-19T10:00:00,Marketing,EG,label_change,Customer data request processing guidance.,low
CASE000334,2025-10-23T05:00:00,SupplyChain,UAE,label_change,Need approval for a new claim on packaging.,low
CASE000335,2025-03-29T15:00:00,SupplyChain,UAE,ingredient_change,Customer data request processing guidance.,medium
CASE000336,2025-06-02T05:00:00,HR,EG,ad_copy,Need response template for complaint.,low
CASE000337,2025-08-14T19:00:00,HR,EG,ingredient_change,Need response template for complaint.,medium
CASE000338,2025-11-11T11:00:00,IT,KSA,ad_copy,Customer data request processing guidance.,medium
CASE000339,2025-01-19T18:00:00,SupplyChain,KSA,label_change,Customer data request processing guidance.,high
CASE000340,2025-10-15T04:00:00,HR,UAE,ingredient_change,Need response template for complaint.,medium
CASE000341,2025-07-23T15:00:00,HR,KSA,ingredient_change,Need approval for a new claim on packaging.,low
CASE000342,2025-03-18T07:00:00,SupplyChain,KSA,ingredient_change,Need response template for complaint.,medium
CASE000343,2025-08-29T23:00:00,HR,EG,ingredient_change,Customer data request processing guidance.,low
CASE000344,2025-07-13T18:00:00,IT,EG,ingredient_change,Need approval for a new claim on packaging.,medium
CASE000345,2025-06-30T03:00:00,HR,KSA,ad_copy,Customer data request processing guidance.,medium
CASE000346,2025-09-04T05:00:00,HR,EG,label_change,Ingredient substitution due to supplier shortage.,medium
CASE000347,2025-01-23T21:00:00,Marketing,EG,ad_copy,Customer data request processing guidance.,medium
CASE000348,2025-01-15T18:00:00,SupplyChain,EG,ad_copy,Need response template for complaint.,high
CASE000349,2025-05-15T03:00:00,IT,EU,ingredient_change,Ad copy includes before/after images.,medium
CASE000350,2025-09-16T08:00:00,Sales,UAE,data_request,Need response template for complaint.,low
CASE000351,2025-02-23T16:00:00,SupplyChain,UAE,ingredient_change,Need response template for complaint.,high
CASE000352,2025-06-19T19:00:00,IT,UAE,ingredient_change,Need approval for a new claim on packaging.,low
CASE000353,2025-07-23T22:00:00,Marketing,EG,complaint_response,Ingredient substitution due to supplier shortage.,high
CASE000354,2025-03-13T10:00:00,SupplyChain,EU,complaint_response,Need approval for a new claim on packaging.,medium
CASE000355,2025-11-02T09:00:00,Marketing,UAE,ad_copy,Customer data request processing guidance.,medium
CASE000356,2025-08-19T15:00:00,Marketing,EU,data_request,Ad copy includes before/after images.,medium
CASE000357,2025-07-12T02:00:00,IT,KSA,label_change,Need response template for complaint.,high
CASE000358,2025-08-21T18:00:00,IT,EU,label_change,Ad copy includes before/after images.,medium
CASE000359,2025-07-15T07:00:00,Sales,UAE,complaint_response,Ad copy includes before/after images.,low
CASE000360,2025-01-02T18:00:00,Marketing,KSA,data_request,Customer data request processing guidance.,high
CASE000361,2025-10-19T20:00:00,Marketing,KSA,complaint_response,Customer data request processing guidance.,low
CASE000362,2025-02-08T14:00:00,Marketing,EG,data_request,Ad copy includes before/after images.,low
CASE000363,2025-12-29T06:00:00,HR,EU,ingredient_change,Need response template for complaint.,high
CASE000364,2025-09-22T17:00:00,Sales,EU,ingredient_change,Customer data request processing guidance.,medium
CASE000365,2025-02-04T17:00:00,HR,KSA,label_change,Need response template for complaint.,low
CASE000366,2025-05-19T14:00:00,HR,EU,ingredient_change,Customer data request processing guidance.,medium
CASE000367,2025-12-08T16:00:00,Sales,UAE,label_change,Need response template for complaint.,low
CASE000368,2025-10-07T22:00:00,IT,EG,label_change,Need response template for complaint.,high
CASE000369,2025-01-23T12:00:00,HR,KSA,label_change,Ingredient substitution due to supplier shortage.,high
CASE000370,2025-01-17T23:00:00,IT,KSA,complaint_response,Customer data request processing guidance.,high
CASE000371,2025-05-28T18:00:00,IT,EU,data_request,Ingredient substitution due to supplier shortage.,medium
CASE000372,2025-02-07T20:00:00,SupplyChain,KSA,label_change,Ad copy includes before/after images.,low
CASE000373,2025-06-17T23:00:00,Marketing,UAE,ad_copy,Need response template for complaint.,medium
CASE000374,2025-09-02T12:00:00,Sales,KSA,ad_copy,Need response template for complaint.,high
CASE000375,2025-10-26T17:00:00,HR,EG,complaint_response,Need approval for a new claim on packaging.,medium
CASE000376,2025-08-07T19:00:00,Sales,EG,ingredient_change,Customer data request processing guidance.,high
CASE000377,2025-11-02T13:00:00,HR,UAE,ad_copy,Ad copy includes before/after images.,low
CASE000378,2025-08-24T16:00:00,SupplyChain,EU,complaint_response,Ad copy includes before/after images.,high
CASE000379,2025-05-12T02:00:00,SupplyChain,KSA,ad_copy,Customer data request processing guidance.,medium
CASE000380,2025-11-06T01:00:00,IT,UAE,ad_copy,Need approval for a new claim on packaging.,medium
CASE000381,2025-11-27T17:00:00,Marketing,EG,complaint_response,Need approval for a new claim on packaging.,high
CASE000382,2025-10-01T11:00:00,Marketing,KSA,data_request,Customer data request processing guidance.,medium
CASE000383,2025-08-13T03:00:00,IT,EG,ingredient_change,Need response template for complaint.,high
CASE000384,2025-03-28T17:00:00,SupplyChain,EU,data_request,Need response template for complaint.,medium
CASE000385,2025-01-24T06:00:00,SupplyChain,EG,ingredient_change,Ad copy includes before/after images.,high
CASE000386,2025-09-26T21:00:00,SupplyChain,EU,ad_copy,Customer data request processing guidance.,low
CASE000387,2025-01-31T07:00:00,HR,KSA,complaint_response,Need response template for complaint.,medium
CASE000388,2025-06-27T05:00:00,Sales,EU,complaint_response,Need approval for a new claim on packaging.,medium
CASE000389,2025-12-25T11:00:00,SupplyChain,KSA,ad_copy,Customer data request processing guidance.,low
CASE000390,2025-03-05T03:00:00,Sales,KSA,ad_copy,Ad copy includes before/after images.,low
CASE000391,2025-12-30T02:00:00,Sales,KSA,ingredient_change,Need response template for complaint.,high
CASE000392,2025-11-05T09:00:00,Sales,EU,data_request,Need response template for complaint.,medium
CASE000393,2025-08-01T00:00:00,Sales,EU,ingredient_change,Need approval for a new claim on packaging.,low
CASE000394,2025-06-24T16:00:00,Marketing,EG,complaint_response,Need response template for complaint.,medium
CASE000395,2025-01-29T20:00:00,Marketing,EG,label_change,Need response template for complaint.,low
CASE000396,2025-05-18T14:00:00,IT,KSA,label_change,Need approval for a new claim on packaging.,high
CASE000397,2025-06-12T12:00:00,HR,EU,label_change,Need approval for a new claim on packaging.,high
CASE000398,2025-08-02T14:00:00,Marketing,KSA,complaint_response,Ad copy includes before/after images.,medium
CASE000399,2025-02-12T03:00:00,Marketing,UAE,ingredient_change,Customer data request processing guidance.,low
CASE000400,2025-02-27T15:00:00,Marketing,UAE,ingredient_change,Need response template for complaint.,low
CASE000401,2025-01-20T14:00:00,SupplyChain,EU,ingredient_change,Need response template for complaint.,high
CASE000402,2025-04-17T17:00:00,HR,EG,data_request,Need approval for a new claim on packaging.,low
CASE000403,2025-05-14T15:00:00,HR,EU,label_change,Ad copy includes before/after images.,low
CASE000404,2025-04-10T09:00:00,Sales,EU,ad_copy,Need response template for complaint.,low
CASE000405,2025-08-03T16:00:00,Marketing,UAE,ingredient_change,Ad copy includes before/after images.,medium
CASE000406,2025-09-12T06:00:00,SupplyChain,EG,label_change,Ingredient substitution due to supplier shortage.,low
CASE000407,2025-09-02T16:00:00,Sales,EU,data_request,Need approval for a new claim on packaging.,high
CASE000408,2025-03-24T09:00:00,SupplyChain,EU,ad_copy,Need response template for complaint.,medium
CASE000409,2025-11-30T13:00:00,Marketing,EU,label_change,Ad copy includes before/after images.,low
CASE000410,2025-06-05T18:00:00,HR,EG,label_change,Customer data request processing guidance.,low
CASE000411,2025-06-12T23:00:00,Sales,KSA,ingredient_change,Ad copy includes before/after images.,low
CASE000412,2025-03-02T05:00:00,Sales,EU,ingredient_change,Ad copy includes before/after images.,medium
CASE000413,2025-10-10T17:00:00,IT,KSA,ingredient_change,Ingredient substitution due to supplier shortage.,low
CASE000414,2025-06-30T17:00:00,HR,UAE,label_change,Need response template for complaint.,low
CASE000415,2025-10-30T23:00:00,SupplyChain,KSA,complaint_response,Need response template for complaint.,high
CASE000416,2025-07-06T15:00:00,HR,EG,data_request,Need approval for a new claim on packaging.,medium
CASE000417,2025-08-19T08:00:00,Sales,KSA,ingredient_change,Ad copy includes before/after images.,high
CASE000418,2025-01-15T01:00:00,Sales,EG,data_request,Customer data request processing guidance.,high
CASE000419,2025-02-13T17:00:00,Sales,EU,label_change,Ingredient substitution due to supplier shortage.,medium
CASE000420,2025-09-12T00:00:00,SupplyChain,KSA,data_request,Ad copy includes before/after images.,low
CASE000421,2025-02-07T14:00:00,Sales,EG,ad_copy,Customer data request processing guidance.,medium
CASE000422,2025-08-22T20:00:00,Sales,EU,complaint_response,Need approval for a new claim on packaging.,high
CASE000423,2025-01-10T14:00:00,HR,EG,ingredient_change,Ingredient substitution due to supplier shortage.,medium
CASE000424,2025-07-07T09:00:00,IT,UAE,ad_copy,Need response template for complaint.,medium
CASE000425,2025-06-18T06:00:00,Marketing,EG,data_request,Need response template for complaint.,high
CASE000426,2025-09-17T14:00:00,IT,KSA,label_change,Ad copy includes before/after images.,high
CASE000427,2025-01-22T01:00:00,SupplyChain,KSA,ad_copy,Ingredient substitution due to supplier shortage.,low
CASE000428,2025-06-17T13:00:00,Marketing,EG,data_request,Customer data request processing guidance.,low
CASE000429,2025-05-19T08:00:00,IT,UAE,complaint_response,Need approval for a new claim on packaging.,medium
CASE000430,2025-12-24T18:00:00,Marketing,EU,ad_copy,Need approval for a new claim on packaging.,medium
CASE000431,2025-02-17T01:00:00,Marketing,KSA,complaint_response,Need response template for complaint.,low
CASE000432,2025-12-29T16:00:00,HR,EU,ingredient_change,Need response template for complaint.,high
CASE000433,2025-08-02T06:00:00,Marketing,EU,label_change,Need approval for a new claim on packaging.,medium
CASE000434,2025-05-18T06:00:00,IT,EU,data_request,Need response template for complaint.,high
CASE000435,2025-09-05T06:00:00,Sales,EG,ingredient_change,Need approval for a new claim on packaging.,low
CASE000436,2025-12-19T21:00:00,HR,EU,ingredient_change,Ad copy includes before/after images.,medium
CASE000437,2025-01-12T08:00:00,SupplyChain,EU,ingredient_change,Customer data request processing guidance.,medium
CASE000438,2025-03-27T10:00:00,Sales,EG,label_change,Ingredient substitution due to supplier shortage.,high
CASE000439,2025-08-16T04:00:00,Sales,EG,ingredient_change,Ad copy includes before/after images.,high
CASE000440,2025-12-14T12:00:00,Sales,UAE,ad_copy,Ingredient substitution due to supplier shortage.,medium
CASE000441,2025-05-21T00:00:00,HR,EU,ingredient_change,Need approval for a new claim on packaging.,low
CASE000442,2025-02-24T14:00:00,IT,KSA,data_request,Customer data request processing guidance.,low
CASE000443,2025-05-23T10:00:00,SupplyChain,KSA,ingredient_change,Ad copy includes before/after images.,high
CASE000444,2025-05-15T16:00:00,Marketing,UAE,data_request,Need response template for complaint.,low
CASE000445,2025-04-30T20:00:00,HR,UAE,ad_copy,Ingredient substitution due to supplier shortage.,low
CASE000446,2025-07-16T08:00:00,HR,UAE,data_request,Ingredient substitution due to supplier shortage.,low
CASE000447,2025-01-02T10:00:00,HR,KSA,ingredient_change,Need response template for complaint.,low
CASE000448,2025-06-25T19:00:00,SupplyChain,UAE,label_change,Ad copy includes before/after images.,high
CASE000449,2025-05-24T20:00:00,IT,KSA,label_change,Need response template for complaint.,high
CASE000450,2025-06-30T10:00:00,Marketing,EU,complaint_response,Ingredient substitution due to supplier shortage.,high
CASE000451,2025-06-24T09:00:00,HR,EG,ingredient_change,Need response template for complaint.,medium
CASE000452,2025-07-12T22:00:00,Sales,EG,complaint_response,Ingredient substitution due to supplier shortage.,high
CASE000453,2025-12-03T04:00:00,HR,EU,ingredient_change,Ad copy includes before/after images.,high
CASE000454,2025-08-12T23:00:00,Sales,EU,ad_copy,Customer data request processing guidance.,high
CASE000455,2025-05-04T02:00:00,IT,EU,data_request,Ad copy includes before/after images.,low
CASE000456,2025-06-16T21:00:00,Sales,KSA,data_request,Need response template for complaint.,low
CASE000457,2025-12-18T18:00:00,Marketing,EG,label_change,Need response template for complaint.,low
CASE000458,2025-08-08T01:00:00,SupplyChain,KSA,label_change,Ad copy includes before/after images.,low
CASE000459,2025-07-21T19:00:00,SupplyChain,EG,data_request,Customer data request processing guidance.,low
CASE000460,2025-12-26T04:00:00,IT,KSA,complaint_response,Ingredient substitution due to supplier shortage.,medium
CASE000461,2025-08-06T22:00:00,IT,EU,ingredient_change,Need response template for complaint.,medium
CASE000462,2025-08-03T07:00:00,SupplyChain,UAE,data_request,Need response template for complaint.,medium
CASE000463,2025-05-23T10:00:00,Sales,UAE,label_change,Ad copy includes before/after images.,low
CASE000464,2025-06-11T05:00:00,Marketing,KSA,ingredient_change,Ingredient substitution due to supplier shortage.,low
CASE000465,2025-10-17T19:00:00,Marketing,KSA,label_change,Ingredient substitution due to supplier shortage.,high
CASE000466,2025-06-13T17:00:00,Sales,EU,data_request,Need response template for complaint.,low
CASE000467,2025-06-25T21:00:00,SupplyChain,UAE,label_change,Ingredient substitution due to supplier shortage.,medium
CASE000468,2025-04-06T14:00:00,IT,EU,label_change,Ad copy includes before/after images.,medium
CASE000469,2025-09-03T10:00:00,HR,UAE,label_change,Customer data request processing guidance.,medium
CASE000470,2025-04-14T09:00:00,HR,EG,data_request,Need approval for a new claim on packaging.,medium
CASE000471,2025-07-11T09:00:00,SupplyChain,EG,ad_copy,Customer data request processing guidance.,low
CASE000472,2025-12-24T18:00:00,Sales,UAE,ad_copy,Ad copy includes before/after images.,low
CASE000473,2025-10-29T15:00:00,Marketing,EU,label_change,Customer data request processing guidance.,high
CASE000474,2025-02-26T23:00:00,Sales,EU,label_change,Need approval for a new claim on packaging.,low
CASE000475,2025-03-10T10:00:00,SupplyChain,EG,ad_copy,Customer data request processing guidance.,medium
CASE000476,2025-09-22T20:00:00,SupplyChain,KSA,data_request,Need response template for complaint.,high
CASE000477,2025-09-01T04:00:00,Sales,EG,data_request,Ad copy includes before/after images.,medium
CASE000478,2025-04-02T17:00:00,Sales,EG,ingredient_change,Ingredient substitution due to supplier shortage.,high
CASE000479,2025-09-18T21:00:00,IT,KSA,complaint_response,Need response template for complaint.,medium
CASE000480,2025-07-15T00:00:00,HR,UAE,data_request,Need response template for complaint.,medium
CASE000481,2025-06-13T16:00:00,SupplyChain,KSA,ingredient_change,Need approval for a new claim on packaging.,low
CASE000482,2025-03-05T04:00:00,IT,KSA,ad_copy,Customer data request processing guidance.,high
CASE000483,2025-07-23T17:00:00,Sales,EU,label_change,Ad copy includes before/after images.,medium
CASE000484,2025-04-16T09:00:00,Sales,UAE,complaint_response,Need approval for a new claim on packaging.,high
CASE000485,2025-08-18T21:00:00,SupplyChain,EG,label_change,Need approval for a new claim on packaging.,low
CASE000486,2025-10-31T08:00:00,IT,EU,label_change,Customer data request processing guidance.,high
CASE000487,2025-08-17T20:00:00,SupplyChain,KSA,label_change,Ad copy includes before/after images.,medium
CASE000488,2025-02-28T12:00:00,Sales,KSA,data_request,Need response template for complaint.,low
CASE000489,2025-04-30T01:00:00,Marketing,EG,ad_copy,Ad copy includes before/after images.,medium
CASE000490,2025-01-02T01:00:00,IT,UAE,label_change,Need approval for a new claim on packaging.,low
CASE000491,2025-11-15T06:00:00,HR,EU,complaint_response,Need approval for a new claim on packaging.,medium
CASE000492,2025-08-20T19:00:00,HR,KSA,data_request,Ingredient substitution due to supplier shortage.,medium
CASE000493,2025-06-24T14:00:00,Marketing,EU,ad_copy,Customer data request processing guidance.,high
CASE000494,2025-12-16T22:00:00,IT,EU,label_change,Ingredient substitution due to supplier shortage.,high
CASE000495,2025-07-06T13:00:00,Sales,UAE,label_change,Need approval for a new claim on packaging.,low
CASE000496,2025-03-07T21:00:00,Marketing,KSA,ad_copy,Need response template for complaint.,high
CASE000497,2025-05-06T07:00:00,Sales,KSA,data_request,Need approval for a new claim on packaging.,high
CASE000498,2025-07-26T10:00:00,HR,EU,ingredient_change,Ad copy includes before/after images.,medium
CASE000499,2025-03-08T03:00:00,IT,EU,ingredient_change,Ad copy includes before/after images.,medium
CASE000500,2025-02-23T16:00:00,SupplyChain,KSA,data_request,Need response template for complaint.,high
CASE000501,2025-02-18T01:00:00,SupplyChain,UAE,ingredient_change,Need response template for complaint.,high
CASE000502,2025-10-07T07:00:00,Sales,KSA,label_change,Ingredient substitution due to supplier shortage.,high
CASE000503,2025-06-11T13:00:00,Marketing,EU,data_request,Need response template for complaint.,medium
CASE000504,2025-04-24T07:00:00,IT,UAE,ingredient_change,Need approval for a new claim on packaging.,high
CASE000505,2025-02-20T04:00:00,IT,KSA,complaint_response,Customer data request processing guidance.,high
CASE000506,2025-04-05T11:00:00,Marketing,UAE,data_request,Ad copy includes before/after images.,low
CASE000507,2025-04-12T00:00:00,SupplyChain,EG,label_change,Ad copy includes before/after images.,low
CASE000508,2025-03-17T11:00:00,Marketing,UAE,data_request,Need approval for a new claim on packaging.,medium
CASE000509,2025-03-12T09:00:00,Marketing,KSA,ad_copy,Customer data request processing guidance.,high
CASE000510,2025-07-27T04:00:00,IT,KSA,data_request,Need response template for complaint.,low
CASE000511,2025-03-13T22:00:00,Sales,EG,label_change,Ingredient substitution due to supplier shortage.,medium
CASE000512,2025-11-29T17:00:00,IT,EG,complaint_response,Customer data request processing guidance.,medium
CASE000513,2025-02-05T23:00:00,IT,EU,complaint_response,Need approval for a new claim on packaging.,medium
CASE000514,2025-03-12T14:00:00,Marketing,UAE,label_change,Need response template for complaint.,low
CASE000515,2025-06-14T20:00:00,Sales,EU,ad_copy,Need response template for complaint.,high
CASE000516,2025-08-04T12:00:00,HR,KSA,ad_copy,Need response template for complaint.,medium
CASE000517,2025-09-12T23:00:00,HR,UAE,data_request,Customer data request processing guidance.,high
CASE000518,2025-04-10T07:00:00,Marketing,KSA,ingredient_change,Need response template for complaint.,medium
CASE000519,2025-04-23T06:00:00,Sales,EG,complaint_response,Customer data request processing guidance.,high
CASE000520,2025-03-27T20:00:00,Sales,EG,data_request,Need approval for a new claim on packaging.,high
CASE000521,2025-06-26T00:00:00,Sales,EU,ingredient_change,Ingredient substitution due to supplier shortage.,low
CASE000522,2025-05-12T14:00:00,Sales,KSA,ad_copy,Customer data request processing guidance.,medium
CASE000523,2025-05-03T13:00:00,Sales,KSA,ad_copy,Need approval for a new claim on packaging.,low
CASE000524,2025-11-10T18:00:00,IT,UAE,label_change,Customer data request processing guidance.,medium
CASE000525,2025-05-07T17:00:00,IT,KSA,data_request,Need approval for a new claim on packaging.,high
CASE000526,2025-06-12T14:00:00,Sales,KSA,ad_copy,Ingredient substitution due to supplier shortage.,high
CASE000527,2025-05-22T20:00:00,Marketing,EU,complaint_response,Ad copy includes before/after images.,low
CASE000528,2025-08-31T21:00:00,IT,EG,ad_copy,Ingredient substitution due to supplier shortage.,low
CASE000529,2025-08-04T14:00:00,IT,KSA,label_change,Ad copy includes before/after images.,low
CASE000530,2025-05-05T00:00:00,IT,EU,ingredient_change,Ad copy includes before/after images.,high
CASE000531,2025-03-20T08:00:00,HR,EU,ad_copy,Need response template for complaint.,medium
CASE000532,2025-01-30T20:00:00,Sales,UAE,data_request,Customer data request processing guidance.,medium
CASE000533,2025-02-27T02:00:00,Sales,KSA,complaint_response,Need response template for complaint.,high
CASE000534,2025-04-03T12:00:00,Sales,UAE,data_request,Need approval for a new claim on packaging.,high
CASE000535,2025-09-27T07:00:00,SupplyChain,KSA,complaint_response,Need approval for a new claim on packaging.,high
CASE000536,2025-07-11T00:00:00,Sales,UAE,ingredient_change,Need approval for a new claim on packaging.,medium
CASE000537,2025-02-06T09:00:00,IT,KSA,complaint_response,Need response template for complaint.,high
CASE000538,2025-03-06T18:00:00,IT,EU,ad_copy,Ingredient substitution due to supplier shortage.,low
CASE000539,2025-11-27T23:00:00,IT,KSA,data_request,Need response template for complaint.,medium
CASE000540,2025-04-24T18:00:00,IT,EG,complaint_response,Need response template for complaint.,high
CASE000541,2025-12-16T02:00:00,SupplyChain,UAE,data_request,Ingredient substitution due to supplier shortage.,medium
CASE000542,2025-07-16T03:00:00,Marketing,KSA,ad_copy,Ingredient substitution due to supplier shortage.,high
CASE000543,2025-05-20T08:00:00,HR,KSA,label_change,Ingredient substitution due to supplier shortage.,low
CASE000544,2025-01-08T22:00:00,Sales,EU,ad_copy,Customer data request processing guidance.,high
CASE000545,2025-06-10T10:00:00,SupplyChain,KSA,ingredient_change,Need response template for complaint.,high
CASE000546,2025-08-29T01:00:00,Marketing,EG,label_change,Customer data request processing guidance.,low
CASE000547,2025-04-03T10:00:00,IT,KSA,complaint_response,Ad copy includes before/after images.,low
CASE000548,2025-07-05T15:00:00,IT,EG,ingredient_change,Ad copy includes before/after images.,high
CASE000549,2025-08-08T02:00:00,Marketing,EU,label_change,Need response template for complaint.,medium
CASE000550,2025-12-29T04:00:00,Sales,EG,ingredient_change,Need approval for a new claim on packaging.,medium
CASE000551,2025-07-12T20:00:00,SupplyChain,KSA,data_request,Ingredient substitution due to supplier shortage.,medium
CASE000552,2025-10-24T05:00:00,HR,UAE,data_request,Customer data request processing guidance.,low
CASE000553,2025-04-05T08:00:00,HR,UAE,data_request,Ad copy includes before/after images.,low
CASE000554,2025-12-23T16:00:00,HR,EU,label_change,Need response template for complaint.,high
CASE000555,2025-02-03T18:00:00,Marketing,EG,complaint_response,Need approval for a new claim on packaging.,medium
CASE000556,2025-08-15T06:00:00,Marketing,EG,label_change,Need response template for complaint.,high
CASE000557,2025-08-05T01:00:00,SupplyChain,EU,ingredient_change,Need approval for a new claim on packaging.,medium
CASE000558,2025-11-07T18:00:00,Marketing,KSA,complaint_response,Need response template for complaint.,low
CASE000559,2025-01-28T05:00:00,Sales,EG,data_request,Ingredient substitution due to supplier shortage.,high
CASE000560,2025-09-27T01:00:00,SupplyChain,KSA,ad_copy,Ingredient substitution due to supplier shortage.,medium
CASE000561,2025-04-26T07:00:00,IT,EG,ad_copy,Need approval for a new claim on packaging.,medium
CASE000562,2025-12-30T22:00:00,SupplyChain,EG,data_request,Need response template for complaint.,low
CASE000563,2025-08-06T11:00:00,HR,EG,ingredient_change,Ingredient substitution due to supplier shortage.,medium
CASE000564,2025-01-30T07:00:00,Sales,UAE,label_change,Need response template for complaint.,medium
CASE000565,2025-12-17T11:00:00,HR,EG,ingredient_change,Need response template for complaint.,high
CASE000566,2025-09-02T10:00:00,Marketing,UAE,data_request,Ingredient substitution due to supplier shortage.,low
CASE000567,2025-12-02T02:00:00,Sales,KSA,data_request,Ad copy includes before/after images.,medium
CASE000568,2025-04-11T12:00:00,Marketing,EG,label_change,Ad copy includes before/after images.,high
CASE000569,2025-07-06T17:00:00,Marketing,EG,data_request,Need response template for complaint.,high
CASE000570,2025-11-14T01:00:00,SupplyChain,UAE,ad_copy,Ad copy includes before/after images.,high
CASE000571,2025-02-02T17:00:00,Sales,EG,complaint_response,Customer data request processing guidance.,high
CASE000572,2025-01-21T13:00:00,Sales,KSA,ad_copy,Ingredient substitution due to supplier shortage.,medium
CASE000573,2025-08-27T20:00:00,Sales,EU,label_change,Ad copy includes before/after images.,low
CASE000574,2025-02-23T16:00:00,HR,KSA,ingredient_change,Ad copy includes before/after images.,low
CASE000575,2025-09-27T11:00:00,HR,UAE,ingredient_change,Need response template for complaint.,high
CASE000576,2025-06-16T00:00:00,HR,EU,ad_copy,Need approval for a new claim on packaging.,low
CASE000577,2025-05-19T13:00:00,Marketing,EU,complaint_response,Ad copy includes before/after images.,high
CASE000578,2025-03-23T20:00:00,Sales,KSA,data_request,Need approval for a new claim on packaging.,medium
CASE000579,2025-08-09T08:00:00,Marketing,UAE,ingredient_change,Ingredient substitution due to supplier shortage.,high
CASE000580,2025-01-08T08:00:00,Sales,UAE,data_request,Need approval for a new claim on packaging.,high
CASE000581,2025-03-14T04:00:00,Marketing,EG,complaint_response,Ad copy includes before/after images.,low
CASE000582,2025-07-26T11:00:00,Sales,EG,ingredient_change,Customer data request processing guidance.,medium
